node_id	id	protein_id	gene_name	label	condition	node_feature_type	n_called_features	n_protein_features	n_proteoform_features	degree
O60506|Control	O60506|Control	O60506	SYNCRIP	SYNCRIP	Control	protein	1	1	0	17
Q16778|Control	Q16778|Control	Q16778	HIST2H2BE	HIST2H2BE	Control	protein	1	1	0	16
P61247|Control	P61247|Control	P61247	RPS3A	RPS3A	Control	protein	1	1	0	16
P62081|Control	P62081|Control	P62081	RPS7	RPS7	Control	protein	1	1	0	16
E7EWI9|Control	E7EWI9|Control	E7EWI9	HNRNPA3	HNRNPA3	Control	protein	1	1	0	15
P62277|Control	P62277|Control	P62277	RPS13	RPS13	Control	protein	1	1	0	15
P39019|Control	P39019|Control	P39019	RPS19	RPS19	Control	protein	1	1	0	15
P15880|Control	P15880|Control	P15880	RPS2	RPS2	Control	protein	1	1	0	15
P62701|Control	P62701|Control	P62701	RPS4X	RPS4X	Control	protein	1	1	0	15
P62753|Control	P62753|Control	P62753	RPS6	RPS6	Control	protein	1	1	0	15
P62241|Control	P62241|Control	P62241	RPS8	RPS8	Control	protein	1	1	0	15
P62851|Control	P62851|Control	P62851	RPS25	RPS25	Control	protein	1	1	0	14
C9J9K3|Control	C9J9K3|Control	C9J9K3	RPSA	RPSA	Control	protein	1	1	0	14
P62249|Control	P62249|Control	P62249	RPS16	RPS16	Control	protein	1	1	0	13
P23396|Control	P23396|Control	P23396	RPS3	RPS3	Control	protein	1	1	0	13
P12429|Control	P12429|Control	P12429	ANXA3	ANXA3	Control	protein	1	1	0	10
P35579|Control	P35579|Control	P35579	MYH9	MYH9	Control	protein	1	1	0	10
Q15014|Control	Q15014|Control	Q15014	MORF4L2	MORF4L2	Control	protein	1	1	0	9
O00299|Control	O00299|Control	O00299	CLIC1	CLIC1	Control	protein	1	1	0	8
Q9Y696|Control	Q9Y696|Control	Q9Y696	CLIC4	CLIC4	Control	protein	1	1	0	8
Q16658|Control	Q16658|Control	Q16658	FSCN1	FSCN1	Control	protein	1	1	0	8
Q14103-3|Control	Q14103-3|Control	Q14103-3	HNRNPD	HNRNPD	Control	protein	1	1	0	8
Q00839-2|Control	Q00839-2|Control	Q00839-2	HNRNPU	HNRNPU	Control	protein	1	1	0	8
P07195|Control	P07195|Control	P07195	LDHB	LDHB	Control	protein	1	1	0	8
P00558|Control	P00558|Control	P00558	PGK1	PGK1	Control	protein	1	1	0	8
P30050|Control	P30050|Control	P30050	RPL12	RPL12	Control	protein	1	1	0	8
P18124|Control	P18124|Control	P18124	RPL7	RPL7	Control	protein	1	1	0	8
P62424|Control	P62424|Control	P62424	RPL7A	RPL7A	Control	protein	1	1	0	8
P05388|Control	P05388|Control	P05388	RPLP0	RPLP0	Control	protein	1	1	0	8
P50454|Control	P50454|Control	P50454	SERPINH1	SERPINH1	Control	protein	1	1	0	8
P04075|Control	P04075|Control	P04075	ALDOA	ALDOA	Control	protein	1	1	0	7
P31939|Control	P31939|Control	P31939	ATIC	ATIC	Control	protein	1	1	0	7
P78371|Control	P78371|Control	P78371	CCT2	CCT2	Control	protein	1	1	0	7
P49368|Control	P49368|Control	P49368	CCT3	CCT3	Control	protein	1	1	0	7
P50991|Control	P50991|Control	P50991	CCT4	CCT4	Control	protein	1	1	0	7
P48643|Control	P48643|Control	P48643	CCT5	CCT5	Control	protein	1	1	0	7
P40227|Control	P40227|Control	P40227	CCT6A	CCT6A	Control	protein	1	1	0	7
Q99832|Control	Q99832|Control	Q99832	CCT7	CCT7	Control	protein	1	1	0	7
P50990|Control	P50990|Control	P50990	CCT8	CCT8	Control	protein	1	1	0	7
P39880-2|Control	P39880-2|Control	P39880-2	CUX1	CUX1	Control	protein	1	1	0	7
P13639|Control	P13639|Control	P13639	EEF2	EEF2	Control	protein	1	1	0	7
G3V4C1|Control	G3V4C1|Control	G3V4C1	HNRNPC	HNRNPC	Control	protein	1	1	0	7
P00338|Control	P00338|Control	P00338	LDHA	LDHA	Control	protein	1	1	0	7
P13667|Control	P13667|Control	P13667	PDIA4	PDIA4	Control	protein	1	1	0	7
E7EWF1|Control	E7EWF1|Control	E7EWF1	RPL4	RPL4	Control	protein	1	1	0	7
P17987|Control	P17987|Control	P17987	TCP1	TCP1	Control	protein	1	1	0	7
P62258|Control	P62258|Control	P62258	YWHAE	YWHAE	Control	protein	1	1	0	7
E5RJ52|Control	E5RJ52|Control	E5RJ52	AP3M2	AP3M2	Control	protein	1	1	0	6
Q8IZD4|Control	Q8IZD4|Control	Q8IZD4	DCP1B	DCP1B	Control	protein	1	1	0	6
Q6SJ93|Control	Q6SJ93|Control	Q6SJ93	FAM111B	FAM111B	Control	protein	1	1	0	6
Q93077|Control	Q93077|Control	Q93077	HIST1H2AC	HIST1H2AC	Control	protein	1	1	0	6
P62805|Control	P62805|Control	P62805	HIST1H4A	HIST1H4A	Control	protein	1	1	0	6
P09429|Control	P09429|Control	P09429	HMGB1	HMGB1	Control	protein	1	1	0	6
B5MDU6|Control	B5MDU6|Control	B5MDU6	LDAH	LDAH	Control	protein	1	1	0	6
P60660-2|Control	P60660-2|Control	P60660-2	MYL6	MYL6	Control	protein	1	1	0	6
Q9NXX6|Control	Q9NXX6|Control	Q9NXX6	NSMCE4A	NSMCE4A	Control	protein	1	1	0	6
Q01968-2|Control	Q01968-2|Control	Q01968-2	OCRL	OCRL	Control	protein	1	1	0	6
P39023|Control	P39023|Control	P39023	RPL3	RPL3	Control	protein	1	1	0	6
Q13472-2|Control	Q13472-2|Control	Q13472-2	TOP3A	TOP3A	Control	protein	1	1	0	6
P60842|Control	P60842|Control	P60842	EIF4A1	EIF4A1	Control	protein	1	1	0	5
Q6YN16|Control	Q6YN16|Control	Q6YN16	HSDL2	HSDL2	Control	protein	1	1	0	5
P18669|Control	P18669|Control	P18669	PGAM1	PGAM1	Control	protein	1	1	0	5
P31947|Control	P31947|Control	P31947	SFN	SFN	Control	protein	1	1	0	5
Q9H299|Control	Q9H299|Control	Q9H299	SH3BGRL3	SH3BGRL3	Control	protein	1	1	0	5
P00441|Control	P00441|Control	P00441	SOD1	SOD1	Control	protein	1	1	0	5
P13010|Control	P13010|Control	P13010	XRCC5	XRCC5	Control	protein	1	1	0	5
P12956|Control	P12956|Control	P12956	XRCC6	XRCC6	Control	protein	1	1	0	5
Q01518|Control	Q01518|Control	Q01518	CAP1	CAP1	Control	protein	1	1	0	4
Q08211|Control	Q08211|Control	Q08211	DHX9	DHX9	Control	protein	1	1	0	4
P41567|Control	P41567|Control	P41567	EIF1	EIF1	Control	protein	1	1	0	4
Q01469|Control	Q01469|Control	Q01469	FABP5	FABP5	Control	protein	1	1	0	4
P49773|Control	P49773|Control	P49773	HINT1	HINT1	Control	protein	1	1	0	4
P07900|Control	P07900|Control	P07900	HSP90AA1	HSP90AA1	Control	protein	1	1	0	4
P11021|Control	P11021|Control	P11021	HSPA5	HSPA5	Control	protein	1	1	0	4
B7Z4V2|Control	B7Z4V2|Control	B7Z4V2	HSPA9	HSPA9	Control	protein	1	1	0	4
Q92945|Control	Q92945|Control	Q92945	KHSRP	KHSRP	Control	protein	1	1	0	4
P09382|Control	P09382|Control	P09382	LGALS1	LGALS1	Control	protein	1	1	0	4
P22392-2|Control	P22392-2|Control	P22392-2	NME2	NME2	Control	protein	1	1	0	4
Q99497|Control	Q99497|Control	Q99497	PARK7	PARK7	Control	protein	1	1	0	4
P07737|Control	P07737|Control	P07737	PFN1	PFN1	Control	protein	1	1	0	4
P30041|Control	P30041|Control	P30041	PRDX6	PRDX6	Control	protein	1	1	0	4
B4DP11|Control	B4DP11|Control	B4DP11	PTGES3	PTGES3	Control	protein	1	1	0	4
Q13813|Control	Q13813|Control	Q13813	SPTAN1	SPTAN1	Control	protein	1	1	0	4
P29401|Control	P29401|Control	P29401	TKT	TKT	Control	protein	1	1	0	4
O43399-2|Control	O43399-2|Control	O43399-2	TPD52L2	TPD52L2	Control	protein	1	1	0	4
Q09666|Control	Q09666|Control	Q09666	AHNAK	AHNAK	Control	protein	1	1	0	3
Q02952|Control	Q02952|Control	Q02952	AKAP12	AKAP12	Control	protein	1	1	0	3
P08758|Control	P08758|Control	P08758	ANXA5	ANXA5	Control	protein	1	1	0	3
O00244|Control	O00244|Control	O00244	ATOX1	ATOX1	Control	protein	1	1	0	3
Q07021|Control	Q07021|Control	Q07021	C1QBP	C1QBP	Control	protein	1	1	0	3
P27797|Control	P27797|Control	P27797	CALR	CALR	Control	protein	1	1	0	3
P23528|Control	P23528|Control	P23528	CFL1	CFL1	Control	protein	1	1	0	3
Q00610-2|Control	Q00610-2|Control	Q00610-2	CLTC	CLTC	Control	protein	1	1	0	3
P07108|Control	P07108|Control	P07108	DBI	DBI	Control	protein	1	1	0	3
Q5VU59|Control	Q5VU59|Control	Q5VU59	DKFZp686J1372	DKFZp686J1372	Control	protein	1	1	0	3
E9PRY8|Control	E9PRY8|Control	E9PRY8	EEF1D	EEF1D	Control	protein	1	1	0	3
P26641|Control	P26641|Control	P26641	EEF1G	EEF1G	Control	protein	1	1	0	3
P06733|Control	P06733|Control	P06733	ENO1	ENO1	Control	protein	1	1	0	3
Q02790|Control	Q02790|Control	Q02790	FKBP4	FKBP4	Control	protein	1	1	0	3
P04406|Control	P04406|Control	P04406	GAPDH	GAPDH	Control	protein	1	1	0	3
P63244|Control	P63244|Control	P63244	GNB2L1	GNB2L1	Control	protein	1	1	0	3
P06744|Control	P06744|Control	P06744	GPI	GPI	Control	protein	1	1	0	3
P09651|Control	P09651|Control	P09651	HNRNPA1	HNRNPA1	Control	protein	1	1	0	3
P61978-2|Control	P61978-2|Control	P61978-2	HNRNPK	HNRNPK	Control	protein	1	1	0	3
P08238|Control	P08238|Control	P08238	HSP90AB1	HSP90AB1	Control	protein	1	1	0	3
Q58FF8|Control	Q58FF8|Control	Q58FF8	HSP90AB2P	HSP90AB2P	Control	protein	1	1	0	3
P14625|Control	P14625|Control	P14625	HSP90B1	HSP90B1	Control	protein	1	1	0	3
H0YG33|Control	H0YG33|Control	H0YG33	HSPA1A	HSPA1A	Control	protein	1	1	0	3
P34932|Control	P34932|Control	P34932	HSPA4	HSPA4	Control	protein	1	1	0	3
P11142|Control	P11142|Control	P11142	HSPA8	HSPA8	Control	protein	1	1	0	3
P10809|Control	P10809|Control	P10809	HSPD1	HSPD1	Control	protein	1	1	0	3
P61604|Control	P61604|Control	P61604	HSPE1	HSPE1	Control	protein	1	1	0	3
E7EVA0|Control	E7EVA0|Control	E7EVA0	MAP4	MAP4	Control	protein	1	1	0	3
F8VZJ2|Control	F8VZJ2|Control	F8VZJ2	NACA	NACA	Control	protein	1	1	0	3
P07237|Control	P07237|Control	P07237	P4HB	P4HB	Control	protein	1	1	0	3
B3KQT9|Control	B3KQT9|Control	B3KQT9	PDIA3	PDIA3	Control	protein	1	1	0	3
Q15181|Control	Q15181|Control	Q15181	PPA1	PPA1	Control	protein	1	1	0	3
P32119|Control	P32119|Control	P32119	PRDX2	PRDX2	Control	protein	1	1	0	3
P62826|Control	P62826|Control	P62826	RAN	RAN	Control	protein	1	1	0	3
P06703|Control	P06703|Control	P06703	S100A6	S100A6	Control	protein	1	1	0	3
P34897-3|Control	P34897-3|Control	P34897-3	SHMT2	SHMT2	Control	protein	1	1	0	3
Q5JP53|Control	Q5JP53|Control	Q5JP53	TUBB	TUBB	Control	protein	1	1	0	3
P68371|Control	P68371|Control	P68371	TUBB4B	TUBB4B	Control	protein	1	1	0	3
P10599|Control	P10599|Control	P10599	TXN	TXN	Control	protein	1	1	0	3
P22314|Control	P22314|Control	P22314	UBA1	UBA1	Control	protein	1	1	0	3
H3BQQ9|Control	H3BQQ9|Control	H3BQQ9	UBE2I	UBE2I	Control	protein	1	1	0	3
Q9C0J8|Control	Q9C0J8|Control	Q9C0J8	WDR33	WDR33	Control	protein	1	1	0	3
P63104|Control	P63104|Control	P63104	YWHAZ	YWHAZ	Control	protein	1	1	0	3
E7ENH9|Control	E7ENH9|Control	E7ENH9	ACLY	ACLY	Control	protein	1	1	0	2
O43707|Control	O43707|Control	O43707	ACTN4	ACTN4	Control	protein	1	1	0	2
P23526|Control	P23526|Control	P23526	AHCY	AHCY	Control	protein	1	1	0	2
H0YN26|Control	H0YN26|Control	H0YN26	ANP32A	ANP32A	Control	protein	1	1	0	2
Q9NQS1|Control	Q9NQS1|Control	Q9NQS1	AVEN	AVEN	Control	protein	1	1	0	2
Q9BRQ6|Control	Q9BRQ6|Control	Q9BRQ6	CHCHD6	CHCHD6	Control	protein	1	1	0	2
P29373|Control	P29373|Control	P29373	CRABP2	CRABP2	Control	protein	1	1	0	2
P24534|Control	P24534|Control	P24534	EEF1B2	EEF1B2	Control	protein	1	1	0	2
P63241|Control	P63241|Control	P63241	EIF5A	EIF5A	Control	protein	1	1	0	2
P49327|Control	P49327|Control	P49327	FASN	FASN	Control	protein	1	1	0	2
P21333-2|Control	P21333-2|Control	P21333-2	FLNA	FLNA	Control	protein	1	1	0	2
P09211|Control	P09211|Control	P09211	GSTP1	GSTP1	Control	protein	1	1	0	2
B9A058|Control	B9A058|Control	B9A058	HIBCH	HIBCH	Control	protein	1	1	0	2
E7EMP6|Control	E7EMP6|Control	E7EMP6	HMCES	HMCES	Control	protein	1	1	0	2
P01116-2|Control	P01116-2|Control	P01116-2	KRAS	KRAS	Control	protein	1	1	0	2
P40926|Control	P40926|Control	P40926	MDH2	MDH2	Control	protein	1	1	0	2
F8W039|Control	F8W039|Control	F8W039	MICB	MICB	Control	protein	1	1	0	2
Q96AH0|Control	Q96AH0|Control	Q96AH0	NABP1	NABP1	Control	protein	1	1	0	2
P11940|Control	P11940|Control	P11940	PABPC1	PABPC1	Control	protein	1	1	0	2
P30086|Control	P30086|Control	P30086	PEBP1	PEBP1	Control	protein	1	1	0	2
Q8NDX5-2|Control	Q8NDX5-2|Control	Q8NDX5-2	PHC3	PHC3	Control	protein	1	1	0	2
H3BU13|Control	H3BU13|Control	H3BU13	PKM	PKM	Control	protein	1	1	0	2
P62937|Control	P62937|Control	P62937	PPIA	PPIA	Control	protein	1	1	0	2
P23284|Control	P23284|Control	P23284	PPIB	PPIB	Control	protein	1	1	0	2
G5E9B6|Control	G5E9B6|Control	G5E9B6	PRMT1	PRMT1	Control	protein	1	1	0	2
Q9NRW1|Control	Q9NRW1|Control	Q9NRW1	RAB6B	RAB6B	Control	protein	1	1	0	2
Q6PCB5|Control	Q6PCB5|Control	Q6PCB5	RSBN1L	RSBN1L	Control	protein	1	1	0	2
O75446|Control	O75446|Control	O75446	SAP30	SAP30	Control	protein	1	1	0	2
P50502|Control	P50502|Control	P50502	ST13	ST13	Control	protein	1	1	0	2
P63313|Control	P63313|Control	P63313	TMSB10	TMSB10	Control	protein	1	1	0	2
P60174-1|Control	P60174-1|Control	P60174-1	TPI1	TPI1	Control	protein	1	1	0	2
P67936|Control	P67936|Control	P67936	TPM4	TPM4	Control	protein	1	1	0	2
P68363|Control	P68363|Control	P68363	TUBA1B	TUBA1B	Control	protein	1	1	0	2
O00124-3|Control	O00124-3|Control	O00124-3	UBXN8	UBXN8	Control	protein	1	1	0	2
P27348|Control	P27348|Control	P27348	YWHAQ	YWHAQ	Control	protein	1	1	0	2
E5RG39|Control	E5RG39|Control	E5RG39	ZNF696	ZNF696	Control	protein	1	1	0	2
F5H8B3|Control	F5H8B3|Control	F5H8B3	ABR	ABR	Control	protein	1	1	0	1
Q5T8D3-2|Control	Q5T8D3-2|Control	Q5T8D3-2	ACBD5	ACBD5	Control	protein	1	1	0	1
Q96HN2-2|Control	Q96HN2-2|Control	Q96HN2-2	AHCYL2	AHCYL2	Control	protein	1	1	0	1
O95433|Control	O95433|Control	O95433	AHSA1	AHSA1	Control	protein	1	1	0	1
P04083|Control	P04083|Control	P04083	ANXA1	ANXA1	Control	protein	1	1	0	1
O75155|Control	O75155|Control	O75155	CAND2	CAND2	Control	protein	1	1	0	1
G8JLH2|Control	G8JLH2|Control	G8JLH2	CDC25B	CDC25B	Control	protein	1	1	0	1
Q9NRG0|Control	Q9NRG0|Control	Q9NRG0	CHRAC1	CHRAC1	Control	protein	1	1	0	1
Q14019|Control	Q14019|Control	Q14019	COTL1	COTL1	Control	protein	1	1	0	1
P99999|Control	P99999|Control	P99999	CYCS	CYCS	Control	protein	1	1	0	1
F5GZ90|Control	F5GZ90|Control	F5GZ90	DTL	DTL	Control	protein	1	1	0	1
P62495|Control	P62495|Control	P62495	ETF1	ETF1	Control	protein	1	1	0	1
O75369-2|Control	O75369-2|Control	O75369-2	FLNB	FLNB	Control	protein	1	1	0	1
P22626|Control	P22626|Control	P22626	HNRNPA2B1	HNRNPA2B1	Control	protein	1	1	0	1
A8K7Q2|Control	A8K7Q2|Control	A8K7Q2	HSPA8	HSPA8	Control	protein	1	1	0	1
Q92598|Control	Q92598|Control	Q92598	HSPH1	HSPH1	Control	protein	1	1	0	1
Q9Y4L1|Control	Q9Y4L1|Control	Q9Y4L1	HYOU1	HYOU1	Control	protein	1	1	0	1
P50213|Control	P50213|Control	P50213	IDH3A	IDH3A	Control	protein	1	1	0	1
O43837|Control	O43837|Control	O43837	IDH3B	IDH3B	Control	protein	1	1	0	1
P51553|Control	P51553|Control	P51553	IDH3G	IDH3G	Control	protein	1	1	0	1
O75525|Control	O75525|Control	O75525	KHDRBS3	KHDRBS3	Control	protein	1	1	0	1
P05783|Control	P05783|Control	P05783	KRT18	KRT18	Control	protein	1	1	0	1
Q659C4|Control	Q659C4|Control	Q659C4	LARP1B	LARP1B	Control	protein	1	1	0	1
P02545|Control	P02545|Control	P02545	LMNA	LMNA	Control	protein	1	1	0	1
P20700|Control	P20700|Control	P20700	LMNB1	LMNB1	Control	protein	1	1	0	1
P46013|Control	P46013|Control	P46013	MKI67	MKI67	Control	protein	1	1	0	1
O95822|Control	O95822|Control	O95822	MLYCD	MLYCD	Control	protein	1	1	0	1
F8VY35|Control	F8VY35|Control	F8VY35	NAP1L1	NAP1L1	Control	protein	1	1	0	1
Q96MG7|Control	Q96MG7|Control	Q96MG7	NDNL2	NDNL2	Control	protein	1	1	0	1
P22234|Control	P22234|Control	P22234	PAICS	PAICS	Control	protein	1	1	0	1
O14737|Control	O14737|Control	O14737	PDCD5	PDCD5	Control	protein	1	1	0	1
Q15149|Control	Q15149|Control	Q15149	PLEC	PLEC	Control	protein	1	1	0	1
Q06830|Control	Q06830|Control	Q06830	PRDX1	PRDX1	Control	protein	1	1	0	1
P30044-2|Control	P30044-2|Control	P30044-2	PRDX5	PRDX5	Control	protein	1	1	0	1
P57735|Control	P57735|Control	P57735	RAB25	RAB25	Control	protein	1	1	0	1
O43353|Control	O43353|Control	O43353	RIPK2	RIPK2	Control	protein	1	1	0	1
P62979|Control	P62979|Control	P62979	RPS27A	RPS27A	Control	protein	1	1	0	1
P62273|Control	P62273|Control	P62273	RPS29	RPS29	Control	protein	1	1	0	1
